name,url,winner,budget
Michael Clayton,https://en.wikipedia.org/wiki/Michael_Clayton_(film),False,21500000
An Education,https://en.wikipedia.org/wiki/An_Education,False,7500000
District 9,https://en.wikipedia.org/wiki/District_9,False,30000000
Munich,https://en.wikipedia.org/wiki/Munich_(2005_film),False,
Hugo,https://en.wikipedia.org/wiki/Hugo_(film),False,150000000
Babel,https://en.wikipedia.org/wiki/Babel_(film),False,25000000
Letters from Iwo Jima,https://en.wikipedia.org/wiki/Letters_from_Iwo_Jima,False,19000000
Little Miss Sunshine,https://en.wikipedia.org/wiki/Little_Miss_Sunshine,False,8000000
The Queen,https://en.wikipedia.org/wiki/The_Queen_(2006_film),False,
Atonement,https://en.wikipedia.org/wiki/Atonement_(2007_film),False,30000000
Juno,https://en.wikipedia.org/wiki/Juno_(film),False,6500000
There Will Be Blood,https://en.wikipedia.org/wiki/There_Will_Be_Blood,False,25000000
The Curious Case of Benjamin Button,https://en.wikipedia.org/wiki/The_Curious_Case_of_Benjamin_Button_(film),False,150000000
Frost/Nixon,https://en.wikipedia.org/wiki/Frost/Nixon_(film),False,25000000
Milk,https://en.wikipedia.org/wiki/Milk_(2008_American_film),False,20000000
The Reader,https://en.wikipedia.org/wiki/The_Reader_(2008_film),False,32000000
Avatar,https://en.wikipedia.org/wiki/Avatar_(2009_film),False,237000000
The Blind Side,https://en.wikipedia.org/wiki/The_Blind_Side_(film),False,29000000
The Help,https://en.wikipedia.org/wiki/The_Help_(film),False,25000000
Boyhood,https://en.wikipedia.org/wiki/Boyhood_(2014_film),False,4000000
Midnight in Paris,https://en.wikipedia.org/wiki/Midnight_in_Paris,False,17000000
Moneyball,https://en.wikipedia.org/wiki/Moneyball_(film),False,50000000
American Sniper,https://en.wikipedia.org/wiki/American_Sniper,False,59000000
The Grand Budapest Hotel,https://en.wikipedia.org/wiki/The_Grand_Budapest_Hotel,False,25000000
The Imitation Game,https://en.wikipedia.org/wiki/The_Imitation_Game,False,14000000
Selma,https://en.wikipedia.org/wiki/Selma_(film),False,20000000
The Theory of Everything,https://en.wikipedia.org/wiki/The_Theory_of_Everything_(2014_film),False,15000000
Whiplash,https://en.wikipedia.org/wiki/Whiplash_(2014_film),False,3300000
The Big Short,https://en.wikipedia.org/wiki/The_Big_Short_(film),False,50000000
Bridge of Spies,https://en.wikipedia.org/wiki/Bridge_of_Spies_(film),False,40000000
Brooklyn,https://en.wikipedia.org/wiki/Brooklyn_(film),False,11000000
Mad Max: Fury Road,https://en.wikipedia.org/wiki/Mad_Max:_Fury_Road,False,154600000
The Martian,https://en.wikipedia.org/wiki/The_Martian_(film),False,108000000
The Revenant,https://en.wikipedia.org/wiki/The_Revenant_(2015_film),False,135000000
Room,https://en.wikipedia.org/wiki/Room_(2015_film),False,13000000
Arrival,https://en.wikipedia.org/wiki/Arrival_(film),False,47000000
Capote,https://en.wikipedia.org/wiki/Capote_(film),False,7000000
The Wolf of Wall Street,https://en.wikipedia.org/wiki/The_Wolf_of_Wall_Street_(2013_film),False,100000000
Philomena,https://en.wikipedia.org/wiki/Philomena_(film),False,12000000
Nebraska,https://en.wikipedia.org/wiki/Nebraska_(film),False,13500000
Lincoln,https://en.wikipedia.org/wiki/Lincoln_(film),False,65000000
The Tree of Life,https://en.wikipedia.org/wiki/The_Tree_of_Life_(film),False,32000000
War Horse,https://en.wikipedia.org/wiki/War_Horse_(film),False,66000000
Amour,https://en.wikipedia.org/wiki/Amour_(2012_film),False,8900000
Beasts of the Southern Wild,https://en.wikipedia.org/wiki/Beasts_of_the_Southern_Wild,False,1800000
Django Unchained,https://en.wikipedia.org/wiki/Django_Unchained,False,100000000
Life of Pi,https://en.wikipedia.org/wiki/Life_of_Pi_(film),False,120000000
Les Misérables,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(2012_film),False,61000000
Her,https://en.wikipedia.org/wiki/Her_(film),False,23000000
Silver Linings Playbook,https://en.wikipedia.org/wiki/Silver_Linings_Playbook,False,
Zero Dark Thirty,https://en.wikipedia.org/wiki/Zero_Dark_Thirty,False,40000000
American Hustle,https://en.wikipedia.org/wiki/American_Hustle,False,40000000
Captain Phillips,https://en.wikipedia.org/wiki/Captain_Phillips_(film),False,55000000
Dallas Buyers Club,https://en.wikipedia.org/wiki/Dallas_Buyers_Club,False,5000000
Gravity,https://en.wikipedia.org/wiki/Gravity_(2013_film),False,80000000
"Good Night, and Good Luck","https://en.wikipedia.org/wiki/Good_Night,_and_Good_Luck",False,7000000
The Piano,https://en.wikipedia.org/wiki/The_Piano,False,7000000
Brokeback Mountain,https://en.wikipedia.org/wiki/Brokeback_Mountain,False,14000000
Sense and Sensibility,https://en.wikipedia.org/wiki/Sense_and_Sensibility_(film),False,16000000
The Prince of Tides,https://en.wikipedia.org/wiki/The_Prince_of_Tides,False,30000000
The Crying Game,https://en.wikipedia.org/wiki/The_Crying_Game,False,nan
A Few Good Men,https://en.wikipedia.org/wiki/A_Few_Good_Men,False,33000000
Howards End,https://en.wikipedia.org/wiki/Howards_End_(film),False,8000000
Scent of a Woman,https://en.wikipedia.org/wiki/Scent_of_a_Woman_(1992_film),False,31000000
The Fugitive,https://en.wikipedia.org/wiki/The_Fugitive_(1993_film),False,44000000
In the Name of the Father,https://en.wikipedia.org/wiki/In_the_Name_of_the_Father_(film),False,13000000
Hacksaw Ridge,https://en.wikipedia.org/wiki/Hacksaw_Ridge,False,40000000
The Remains of the Day,https://en.wikipedia.org/wiki/The_Remains_of_the_Day_(film),False,15000000
Four Weddings and a Funeral,https://en.wikipedia.org/wiki/Four_Weddings_and_a_Funeral,False,4400000
Pulp Fiction,https://en.wikipedia.org/wiki/Pulp_Fiction,False,8000000
Quiz Show,https://en.wikipedia.org/wiki/Quiz_Show_(film),False,31000000
The Shawshank Redemption,https://en.wikipedia.org/wiki/The_Shawshank_Redemption,False,25000000
Apollo 13,https://en.wikipedia.org/wiki/Apollo_13_(film),False,52000000
Babe,https://en.wikipedia.org/wiki/Babe_(film),False,30000000
JFK,https://en.wikipedia.org/wiki/JFK_(film),False,40000000
Bugsy,https://en.wikipedia.org/wiki/Bugsy,False,30000000
Beauty and the Beast,https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(1991_film),False,25000000
Working Girl,https://en.wikipedia.org/wiki/Working_Girl,False,28000000
Fatal Attraction,https://en.wikipedia.org/wiki/Fatal_Attraction,False,14000000
Hope and Glory,https://en.wikipedia.org/wiki/Hope_and_Glory_(film),False,9300000
Moonstruck,https://en.wikipedia.org/wiki/Moonstruck,False,15000000
The Accidental Tourist,https://en.wikipedia.org/wiki/The_Accidental_Tourist_(film),False,
Dangerous Liaisons,https://en.wikipedia.org/wiki/Dangerous_Liaisons,False,14000000
Mississippi Burning,https://en.wikipedia.org/wiki/Mississippi_Burning,False,15000000
Born on the Fourth of July,https://en.wikipedia.org/wiki/Born_on_the_Fourth_of_July_(film),False,17800000
Goodfellas,https://en.wikipedia.org/wiki/Goodfellas,False,25000000
Dead Poets Society,https://en.wikipedia.org/wiki/Dead_Poets_Society,False,16399999
Field of Dreams,https://en.wikipedia.org/wiki/Field_of_Dreams,False,15000000
My Left Foot,https://en.wikipedia.org/wiki/My_Left_Foot,False,nan
Awakenings,https://en.wikipedia.org/wiki/Awakenings,False,29000000
Ghost,https://en.wikipedia.org/wiki/Ghost_(1990_film),False,22000000
The Godfather Part III,https://en.wikipedia.org/wiki/The_Godfather_Part_III,False,54000000
The Postman (Il Postino),https://en.wikipedia.org/wiki/Il_Postino:_The_Postman,False,3000000
Fargo,https://en.wikipedia.org/wiki/Fargo_(1996_film),False,7000000
Sideways,https://en.wikipedia.org/wiki/Sideways,False,
Jerry Maguire,https://en.wikipedia.org/wiki/Jerry_Maguire,False,50000000
Gosford Park,https://en.wikipedia.org/wiki/Gosford_Park,False,19800000
In the Bedroom,https://en.wikipedia.org/wiki/In_the_Bedroom,False,1700000
The Lord of the Rings: The Fellowship of the Ring,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,False,93000000
Moulin Rouge!,https://en.wikipedia.org/wiki/Moulin_Rouge!,False,50000000
Gangs of New York,https://en.wikipedia.org/wiki/Gangs_of_New_York,False,97000000
The Hours,https://en.wikipedia.org/wiki/The_Hours_(film),False,25000000
The Lord of the Rings: The Two Towers,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Two_Towers,False,94000000
The Pianist,https://en.wikipedia.org/wiki/The_Pianist_(2002_film),False,35000000
Lost in Translation,https://en.wikipedia.org/wiki/Lost_in_Translation_(film),False,4000000
Master and Commander: The Far Side of the World,https://en.wikipedia.org/wiki/Master_and_Commander:_The_Far_Side_of_the_World,False,150000000
Mystic River,https://en.wikipedia.org/wiki/Mystic_River_(film),False,25000000
Seabiscuit,https://en.wikipedia.org/wiki/Seabiscuit_(film),False,87000000
The Aviator,https://en.wikipedia.org/wiki/The_Aviator_(2004_film),False,110000000
Finding Neverland,https://en.wikipedia.org/wiki/Finding_Neverland_(film),False,25000000
Ray,https://en.wikipedia.org/wiki/Ray_(film),False,40000000
Traffic,https://en.wikipedia.org/wiki/Traffic_(2000_film),False,48000000
Erin Brockovich,https://en.wikipedia.org/wiki/Erin_Brockovich_(film),False,52000000
"Crouching Tiger, Hidden Dragon","https://en.wikipedia.org/wiki/Crouching_Tiger,_Hidden_Dragon",False,17000000
Elizabeth,https://en.wikipedia.org/wiki/Elizabeth_(film),False,30000000
Secrets & Lies,https://en.wikipedia.org/wiki/Secrets_%26_Lies_(film),False,4500000
Shine,https://en.wikipedia.org/wiki/Shine_(film),False,6000000
As Good as It Gets,https://en.wikipedia.org/wiki/As_Good_as_It_Gets,False,50000000
The Full Monty,https://en.wikipedia.org/wiki/The_Full_Monty,False,3500000
Good Will Hunting,https://en.wikipedia.org/wiki/Good_Will_Hunting,False,10000000
L.A. Confidential,https://en.wikipedia.org/wiki/L.A._Confidential_(film),False,35000000
Life Is Beautiful,https://en.wikipedia.org/wiki/Life_Is_Beautiful,False,nan
Chocolat,https://en.wikipedia.org/wiki/Chocolat_(2000_film),False,25000000
Saving Private Ryan,https://en.wikipedia.org/wiki/Saving_Private_Ryan,False,65000000
The Thin Red Line,https://en.wikipedia.org/wiki/The_Thin_Red_Line_(1998_film),False,52000000
The Cider House Rules,https://en.wikipedia.org/wiki/The_Cider_House_Rules_(film),False,24000000
The Green Mile,https://en.wikipedia.org/wiki/The_Green_Mile_(film),False,60000000
The Insider,https://en.wikipedia.org/wiki/The_Insider_(film),False,68000000
The Sixth Sense,https://en.wikipedia.org/wiki/The_Sixth_Sense,False,40000000
Fences,https://en.wikipedia.org/wiki/Fences_(film),False,24000000
The Banshees of Inisherin,https://en.wikipedia.org/wiki/The_Banshees_of_Inisherin,False,20000000
Hell or High Water,https://en.wikipedia.org/wiki/Hell_or_High_Water_(2016_film),False,12000000
Hidden Figures,https://en.wikipedia.org/wiki/Hidden_Figures,False,25000000
Don't Look Up,https://en.wikipedia.org/wiki/Don%27t_Look_Up,False,75000000
Ford v Ferrari,https://en.wikipedia.org/wiki/Ford_v_Ferrari,False,97600000
The Irishman,https://en.wikipedia.org/wiki/The_Irishman,False,159000000
Jojo Rabbit,https://en.wikipedia.org/wiki/Jojo_Rabbit,False,14000000
Joker,https://en.wikipedia.org/wiki/Joker_(2019_film),False,55000000
Little Women,https://en.wikipedia.org/wiki/Little_Women_(2019_film),False,40000000
Marriage Story,https://en.wikipedia.org/wiki/Marriage_Story,False,18000000
1917,https://en.wikipedia.org/wiki/1917_(2019_film),False,90000000
Once Upon a Time in Hollywood,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_Hollywood,False,90000000
The Father,https://en.wikipedia.org/wiki/The_Father_(2020_film),False,6000000
Judas and the Black Messiah,https://en.wikipedia.org/wiki/Judas_and_the_Black_Messiah,False,26000000
Mank,https://en.wikipedia.org/wiki/Mank,False,25000000
Minari,https://en.wikipedia.org/wiki/Minari_(film),False,2000000
Promising Young Woman,https://en.wikipedia.org/wiki/Promising_Young_Woman,False,10000000
Sound of Metal,https://en.wikipedia.org/wiki/Sound_of_Metal,False,5400000
The Trial of the Chicago 7,https://en.wikipedia.org/wiki/The_Trial_of_the_Chicago_7,False,35000000
Vice,https://en.wikipedia.org/wiki/Vice_(2018_film),False,60000000
A Star Is Born,https://en.wikipedia.org/wiki/A_Star_Is_Born_(2018_film),False,36000000
Roma,https://en.wikipedia.org/wiki/Roma_(2018_film),False,15000000
Get Out,https://en.wikipedia.org/wiki/Get_Out,False,4500000
La La Land,https://en.wikipedia.org/wiki/La_La_Land,False,30000000
Lion,https://en.wikipedia.org/wiki/Lion_(2016_film),False,12000000
Manchester by the Sea,https://en.wikipedia.org/wiki/Manchester_by_the_Sea_(film),False,9000000
Call Me by Your Name,https://en.wikipedia.org/wiki/Call_Me_by_Your_Name_(film),False,3500000
Darkest Hour,https://en.wikipedia.org/wiki/Darkest_Hour_(film),False,30000000
Dunkirk,https://en.wikipedia.org/wiki/Dunkirk_(2017_film),False,82500000
Lady Bird,https://en.wikipedia.org/wiki/Lady_Bird_(film),False,10000000
The Favourite,https://en.wikipedia.org/wiki/The_Favourite,False,15000000
Phantom Thread,https://en.wikipedia.org/wiki/Phantom_Thread,False,35000000
The Post,https://en.wikipedia.org/wiki/The_Post_(film),False,50000000
"Three Billboards Outside Ebbing, Missouri","https://en.wikipedia.org/wiki/Three_Billboards_Outside_Ebbing,_Missouri",False,12000000
Black Panther,https://en.wikipedia.org/wiki/Black_Panther_(film),False,200000000
BlacKkKlansman,https://en.wikipedia.org/wiki/BlacKkKlansman,False,15000000
Bohemian Rhapsody,https://en.wikipedia.org/wiki/Bohemian_Rhapsody_(film),False,50000000
Belfast,https://en.wikipedia.org/wiki/Belfast_(film),False,10000000
Drive My Car,https://en.wikipedia.org/wiki/Drive_My_Car_(film),False,1300000
Dune,https://en.wikipedia.org/wiki/Dune_(2021_film),False,165000000
Avatar: The Way of Water,https://en.wikipedia.org/wiki/Avatar:_The_Way_of_Water,False,350000000
King Richard,https://en.wikipedia.org/wiki/King_Richard_(film),False,50000000
Licorice Pizza,https://en.wikipedia.org/wiki/Licorice_Pizza,False,40000000
Nightmare Alley,https://en.wikipedia.org/wiki/Nightmare_Alley_(2021_film),False,60000000
The Power of the Dog,https://en.wikipedia.org/wiki/The_Power_of_the_Dog_(film),False,35000000
West Side Story,https://en.wikipedia.org/wiki/West_Side_Story_(2021_film),False,100000000
All Quiet on the Western Front,https://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(2022_film),False,20000000
A Room with a View,https://en.wikipedia.org/wiki/A_Room_with_a_View_(1985_film),False,3000000
Elvis,https://en.wikipedia.org/wiki/Elvis_(2022_film),False,85000000
The Fabelmans,https://en.wikipedia.org/wiki/The_Fabelmans,False,40000000
Tár,https://en.wikipedia.org/wiki/T%C3%A1r,False,25000000
Top Gun: Maverick,https://en.wikipedia.org/wiki/Top_Gun:_Maverick,False,170000000
Triangle of Sadness,https://en.wikipedia.org/wiki/Triangle_of_Sadness,False,15600000
Women Talking,https://en.wikipedia.org/wiki/Women_Talking_(film),False,
Broadcast News,https://en.wikipedia.org/wiki/Broadcast_News_(film),False,15000000
Barry Lyndon,https://en.wikipedia.org/wiki/Barry_Lyndon,False,11000000
The Mission,https://en.wikipedia.org/wiki/The_Mission_(1986_film),False,nan
The Magnificent Ambersons,https://en.wikipedia.org/wiki/The_Magnificent_Ambersons_(film),False,1100000
Kitty Foyle,https://en.wikipedia.org/wiki/Kitty_Foyle_(film),False,738000
The Letter,https://en.wikipedia.org/wiki/The_Letter_(1940_film),False,
The Long Voyage Home,https://en.wikipedia.org/wiki/The_Long_Voyage_Home,False,682495
Our Town,https://en.wikipedia.org/wiki/Our_Town_(1940_film),False,1000000
The Philadelphia Story,https://en.wikipedia.org/wiki/The_Philadelphia_Story_(film),False,914000
Blossoms in the Dust,https://en.wikipedia.org/wiki/Blossoms_in_the_Dust,False,1112000
Citizen Kane,https://en.wikipedia.org/wiki/Citizen_Kane,False,839727
Here Comes Mr. Jordan,https://en.wikipedia.org/wiki/Here_Comes_Mr._Jordan,False,
Hold Back the Dawn,https://en.wikipedia.org/wiki/Hold_Back_the_Dawn,False,
The Little Foxes,https://en.wikipedia.org/wiki/The_Little_Foxes_(film),False,
The Maltese Falcon,https://en.wikipedia.org/wiki/The_Maltese_Falcon_(1941_film),False,375000
One Foot in Heaven,https://en.wikipedia.org/wiki/One_Foot_in_Heaven,False,
Sergeant York,https://en.wikipedia.org/wiki/Sergeant_York_(film),False,1700000
Suspicion,https://en.wikipedia.org/wiki/Suspicion_(1941_film),False,1103000
49th Parallel,https://en.wikipedia.org/wiki/49th_Parallel_(film),False,nan
The Great Dictator,https://en.wikipedia.org/wiki/The_Great_Dictator,False,2200000
The Grapes of Wrath,https://en.wikipedia.org/wiki/The_Grapes_of_Wrath_(film),False,800000
Foreign Correspondent,https://en.wikipedia.org/wiki/Foreign_Correspondent_(film),False,1484167
"Goodbye, Mr. Chips","https://en.wikipedia.org/wiki/Goodbye,_Mr._Chips_(1939_film)",False,1051000
Four Daughters,https://en.wikipedia.org/wiki/Four_Daughters,False,
Grand Illusion,https://en.wikipedia.org/wiki/La_Grande_Illusion,False,
Jezebel,https://en.wikipedia.org/wiki/Jezebel_(1938_film),False,1250000
Pygmalion,https://en.wikipedia.org/wiki/Pygmalion_(1938_film),False,nan
Test Pilot,https://en.wikipedia.org/wiki/Test_Pilot_(film),False,1700000
Dark Victory,https://en.wikipedia.org/wiki/Dark_Victory,False,1000000
Love Affair,https://en.wikipedia.org/wiki/Love_Affair_(1939_film),False,860000
"All This, and Heaven Too","https://en.wikipedia.org/wiki/All_This,_and_Heaven_Too",False,
Mr. Smith Goes to Washington,https://en.wikipedia.org/wiki/Mr._Smith_Goes_to_Washington,False,1500000
Ninotchka,https://en.wikipedia.org/wiki/Ninotchka,False,1400000
Of Mice and Men,https://en.wikipedia.org/wiki/Of_Mice_and_Men_(1939_film),False,
Stagecoach,https://en.wikipedia.org/wiki/Stagecoach_(1939_film),False,531374
The Wizard of Oz,https://en.wikipedia.org/wiki/The_Wizard_of_Oz_(1939_film),False,2800000
Wuthering Heights,https://en.wikipedia.org/wiki/Wuthering_Heights_(1939_film),False,
Kings Row,https://en.wikipedia.org/wiki/Kings_Row,False,1081698
The Pied Piper,https://en.wikipedia.org/wiki/The_Pied_Piper_(1942_film),False,
Boys Town,https://en.wikipedia.org/wiki/Boys_Town_(film),False,772000
